title,brand,image_url,priced_before,discount_percent,current_price,size
Slim Fit Cargo Trousers,YB DNMX,https://assets.ajio.com/medias/sys_master/root/h83/h5c/14527685722142/-286Wx359H-441032372-grey-MODEL.jpg,849,49% off,433,[7-8Y-9-10Y-11-12Y-13-14Y-15-16Y]
Colourblock Henley T-shirt with Raglan Sleeves,Teamspirit,https://assets.ajio.com/medias/sys_master/root/h1d/he5/10247929757726/-286Wx359H-440737331-orange-OUTFIT.jpg,399,51% off,196,[XS-S-M-L-XL-XXL]
Micro Print Slim Fit Shorts with Upturned Hems,YB DNMX,https://assets.ajio.com/medias/sys_master/root/hb8/h2e/14850651193374/-286Wx359H-441010321-khaki-MODEL.jpg,699,49% off,356,[7-8Y-9-10Y-11-12Y-13-14Y-15-16Y]
Speckled Round-Neck T-shirt,FIG,https://assets.ajio.com/medias/sys_master/root/h0d/had/15773338239006/-286Wx359H-441055643-olive-MODEL.jpg,399,30% off,279,[XS-S-M-L-XL-XXL]
Pack of 3 Printed T-shirt,INF FRENDZ,https://assets.ajio.com/medias/sys_master/root/h9f/h2e/15575736090654/-286Wx359H-441021036-assorted-MODEL.jpg,599,49% off,305,NA
Camisole with Lace Strap,DNMX,https://assets.ajio.com/medias/sys_master/root/hef/h7a/15163339866142/-286Wx359H-441037178-white-MODEL.jpg,299,40% off,179,[XS-S-L]
Printed Round-Neck Flared Kurta,SIYAHI,https://assets.ajio.com/medias/sys_master/root/h74/h20/14524365733918/-286Wx359H-441029546-mustard-MODEL.jpg,999,49% off,509,[XS-S-L-XXL]
Mid-Rise Track Pants with Contrast Taping,YB DNMX,https://assets.ajio.com/medias/sys_master/root/h4e/h74/13250087616542/-286Wx359H-440952536-navy-MODEL.jpg,449,30% off,314,[7-8Y-9-10Y-11-12Y-13-14Y-15-16Y]
Flared Dress With Asymmetrical Heline,FUSION,https://assets.ajio.com/medias/sys_master/root/h96/hd3/14784087916574/-286Wx359H-441024136-navy-MODEL.jpg,1299,49% off,662,[S-M-L-XL]
Henley T-shirt with Raglan Sleeves,Teamspirit,https://assets.ajio.com/medias/sys_master/root/h4f/hc5/11848557395998/-286Wx359H-440737331-ltgrey-MODEL.jpg,399,51% off,196,[XS-S-M-L-XL-XXL]
Polo T-shirt with Signature Branding,DNMX,https://assets.ajio.com/medias/sys_master/root/h80/h07/10247897382942/-286Wx359H-440762638-green-OUTFIT.jpg,499,20% off,399,[XS-L-XL-XXL]
Striped Dungarees with Insert Pockets,RIO GIRLS,https://assets.ajio.com/medias/sys_master/root/h9c/hba/15233727299614/-286Wx359H-441015773-white-MODEL.jpg,749,49% off,382,[9-10Y-11-12Y-13-14Y-15-16Y]
High-Rise Skinny Fit Jeans,DNMX,https://assets.ajio.com/medias/sys_master/root/h8b/h89/14988990054430/-286Wx359H-441020214-ltblue-MODEL.jpg,1299,49% off,662,[26-28-34]
Floral Print Straight Tunic with Band Collar,FUSION,https://assets.ajio.com/medias/sys_master/root/h5e/h27/14491672608798/-286Wx359H-441031331-pistagreen-MODEL.jpg,499,45% off,274,[XS-S-M-L-XL-XXL]
Floral Print Button-Down Straight Kurta,AVAASA MIX N' MATCH,https://assets.ajio.com/medias/sys_master/root/h6a/h25/14564722606110/-286Wx359H-441023532-coral-MODEL.jpg,999,49% off,509,[XS-S-M-L-XL-XXL]
Floral Print Dungaree Dress with T-shirt,KG FRENDZ,https://assets.ajio.com/medias/sys_master/root/h2f/he4/15397988171806/-286Wx359H-441037669-white-MODEL.jpg,899,40% off,539,[2-3Y-3-4Y-5-6Y-7-8Y]
